SPL,Success_Rate,Collisions_rate,Species
0.6619718309859155,0.6619718309859155,0.014084507042253521,Torvalds
0.8450704225352113,0.8450704225352113,0.014084507042253521,Torvalds
0.7868364030335862,0.7887323943661971,0.014084507042253521,Torvalds
0.9135647216633133,0.9154929577464789,1.4366197183098592,Jobs
0.8702518139137858,0.8732394366197183,0.08450704225352113,Torvalds
0.8993578328206789,0.9014084507042254,0.0,Wozniak
0.7464788732394366,0.7464788732394366,0.014084507042253521,Torvalds
0.6338028169014085,0.6338028169014085,0.0,Wozniak
0.5352112676056339,0.5352112676056338,0.30985915492957744,Jobs
0.8438456827924067,0.8450704225352113,0.07042253521126761,Torvalds
0.7887323943661972,0.7887323943661971,0.0,Wozniak
0.49295774647887325,0.49295774647887325,4.619718309859155,Jobs
0.8999675804185728,0.9014084507042254,0.028169014084507043,Torvalds
0.8705357142857143,0.8714285714285714,0.0,Wozniak
