Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
16.454943781410698,139,500,0.7580915833918238,29
13.527102489159978,151,500,10.471965046216281,41
11.080717902580282,92,138,11.192168159866588,10
7.6341299719882425,109,500,5.25990840692159,30
8.598591696456934,69,102,8.58662911583495,2
2.2717607261275345,19,28,2.2949700609051398,4
12.870576122018296,104,279,12.710771595094165,8
11.063781729104091,89,153,10.955735020208584,9
12.018609724853324,93,166,11.95232198787741,8
2.217416441015749,33,38,2.195190050010266,3
9.478794055926741,71,102,9.372618606137491,2
0.7348288802107261,37,500,1.0626911527129985,1
2.4030572257412643,19,30,2.3872816396408805,0
16.431227381262588,130,500,9.81163641107787,44
2.497501317680042,38,55,2.4032727499107858,0
16.150051387332162,114,238,16.021525096118783,4
3.7039690400040626,30,38,3.71973918893567,1
7.803994210232676,83,482,7.654770177228312,19
5.159972563388514,37,500,2.0271676117335735,79
5.370647997766404,62,500,2.7006933348129745,67
5.802229103224242,51,91,5.796531538798305,6
16.232122105184718,106,179,16.134507324343616,5
4.87509725553418,43,500,0.5769811453041951,4
3.0587137591456366,37,119,2.9147186192618286,3
8.157845879929774,89,497,8.030092988485835,35
6.0460576723283,65,167,5.938023387440969,3
2.159052753380508,21,32,2.1920010844501285,1
12.29410550217117,89,171,12.133353516602055,9
4.724087318918963,51,82,4.828193341524381,1
2.313143171609083,39,500,0.969846245424723,0
18.363306442756603,131,500,3.8197216494384767,59
13.210187363871158,108,500,5.168344308663045,51
1.9860361138597122,30,36,1.9617819848816993,3
18.04109331379704,134,500,6.471234002931536,43
2.98262246237046,85,216,2.9314113086051834,14
9.769317555262518,110,500,1.6880351804118578,6
12.557794463225,169,500,0.2194863805279451,1
7.99439999350886,62,108,8.080957600516458,1
8.214223479101708,95,489,8.264333000024925,31
13.092003936257411,104,169,13.120988865272155,8
5.190053799880533,48,216,5.202888131835085,14
4.798585814794588,41,67,4.571802498924257,5
5.277440158407116,54,80,5.328180066011189,1
4.3616898592224445,58,109,4.423693967607104,6
9.057734440293283,74,214,8.990358950966524,17
2.6868286371454677,23,49,2.7371442950752827,0
5.32407561752689,76,94,5.583147242081266,9
17.482505094108017,129,500,10.435332301394094,75
2.371990004969956,39,125,2.2541217735417605,3
8.191904816979063,59,90,8.196403313373978,0
5.5849824994422335,101,500,1.2416953011195702,52
8.253833086165786,90,319,8.408064932713609,19
11.735242079308568,94,144,11.620121387935232,6
5.613947716676682,61,198,5.593124843942566,21
7.5963544482025025,112,373,7.658414048005707,22
3.390750655719126,39,359,3.390832018333928,61
8.793746067248081,69,500,5.484271073088598,2
7.2559294712229505,99,112,7.527760767145225,0
14.341229351380433,105,155,14.178406520726538,6
11.838996320099913,84,149,11.950761531039591,1
5.492344436759373,108,242,5.5012177727630975,11
4.20282668916172,37,95,4.338512537925655,0
14.499296890777686,161,500,11.180067179448628,37
12.104811365038803,118,500,10.391457302060699,44
3.292410809904721,55,127,3.304910203609326,0
8.822522651989201,94,500,3.296488006847433,54
5.06754844879451,49,100,5.183428793531856,2
4.130437735931993,69,102,4.059509638368064,3
7.8310034085163585,87,227,7.725769103734327,2
8.278172052512204,56,132,8.36151528350579,5
8.389661927588383,84,500,1.9567194404736377,0
